explained_variance,fps,value_loss,nupdates,total_timesteps,policy_entropy
0.9078417345881462,583,0.02680673822760582,256100,5122000,1.8341223001480103
0.9909322243183851,583,0.004652560688555241,256200,5124000,2.052309989929199
0.9919251780956984,583,0.0029801942873746157,256300,5126000,2.0903820991516113
0.9933758401311934,583,0.004962148144841194,256400,5128000,1.9374526739120483
0.9913488300517201,583,0.0032029456924647093,256500,5130000,2.037463665008545
0.9781976323574781,583,0.010090319439768791,256600,5132000,1.9077438116073608
0.8893018141388893,583,0.01048482395708561,256700,5134000,2.060307025909424
0.9965480328537524,583,0.001957063563168049,256800,5136000,2.161353826522827
0.7733731716871262,583,0.005445626564323902,256900,5138000,1.794637680053711
0.6980698108673096,583,0.14278054237365723,257000,5140000,1.952404260635376
0.8866262510418892,583,0.023089800029993057,257100,5142000,1.7738316059112549
0.9229083061218262,583,0.04417083039879799,257200,5144000,1.9905147552490234
0.9262028709053993,583,0.02692299708724022,257300,5146000,1.960575819015503
0.9768775962293148,583,0.009343577548861504,257400,5148000,1.8310070037841797
0.9941288153640926,583,0.0022109090350568295,257500,5150000,2.0518696308135986
0.9774959590286016,583,0.010195368900895119,257600,5152000,2.057310104370117
0.9881439730525017,584,0.007219813764095306,257700,5154000,1.923204779624939
0.9890374056994915,584,0.0015226952964439988,257800,5156000,2.1204733848571777
0.982947738841176,584,0.0021880469284951687,257900,5158000,1.916326880455017
0.9757643509656191,584,0.0028728474862873554,258000,5160000,1.9542039632797241
0.9570187442004681,584,0.005637235473841429,258100,5162000,1.8666130304336548
0.9927338003180921,584,0.003380603389814496,258200,5164000,1.9941438436508179
0.9929610211402178,584,0.007223894353955984,258300,5166000,2.0143961906433105
0.9448528476059437,584,0.02918620966374874,258400,5168000,2.025587797164917
0.9856818085536361,584,0.004037906881421804,258500,5170000,2.1186015605926514
0.9253081977367401,584,0.0233451034873724,258600,5172000,2.0970890522003174
0.9807315580546856,584,0.0008401612867601216,258700,5174000,2.0959839820861816
0.9417102113366127,584,0.01057666726410389,258800,5176000,1.913047432899475
0.9896692400798202,584,0.004342361353337765,258900,5178000,1.8293211460113525
0.9838570840656757,584,0.00824170745909214,259000,5180000,2.0397181510925293
0.8533251583576202,584,0.005524614360183477,259100,5182000,1.8123033046722412
0.9561953619122505,584,0.005371253006160259,259200,5184000,2.089794635772705
-0.13820040225982666,585,0.02225041389465332,259300,5186000,2.026785373687744
0.9937867890112102,585,0.0018283979734405875,259400,5188000,2.1269240379333496
0.9476244449615479,585,0.004835594445466995,259500,5190000,2.060124158859253
0.9769191965460777,585,0.016611088067293167,259600,5192000,1.8451496362686157
0.973977779969573,585,0.01037666667252779,259700,5194000,1.8470134735107422
-0.15674316883087158,585,0.08664137125015259,259800,5196000,2.11076021194458
0.9173861667513847,585,0.01112769078463316,259900,5198000,2.0152337551116943
0.16392666101455688,585,0.25222063064575195,260000,5200000,2.070044755935669
0.8549407422542572,585,0.0047085946425795555,260100,5202000,2.1195762157440186
0.9887864841148257,585,0.005585046485066414,260200,5204000,1.98409903049469
0.9689956866204739,585,0.007783554494380951,260300,5206000,2.112786054611206
0.9537979364395142,585,0.010384169407188892,260400,5208000,2.1702022552490234
0.9715297110378742,585,0.020308490842580795,260500,5210000,2.092893600463867
0.9074574708938599,585,0.10116088390350342,260600,5212000,1.862097978591919
0.9772972594946623,585,0.010850888676941395,260700,5214000,1.9893560409545898
0.9919557003304362,585,0.0030027825850993395,260800,5216000,2.027452230453491
0.9612581208348274,585,0.012640051543712616,260900,5218000,1.8152263164520264
0.9911734657362103,586,0.010407207533717155,261000,5220000,1.80844247341156
0.9566137045621872,586,0.01389151532202959,261100,5222000,1.7820169925689697
0.9459545239806175,586,0.013399544171988964,261200,5224000,2.0073840618133545
0.9624907709658146,586,0.00916504580527544,261300,5226000,2.058213472366333
0.9613409899175167,586,0.002376310992985964,261400,5228000,2.004707098007202
0.9282596856355667,586,0.007131704594939947,261500,5230000,2.084155559539795
0.9455419667065144,586,0.0057084825821220875,261600,5232000,2.100938558578491
0.9818366821855307,586,0.0052718305960297585,261700,5234000,1.8795150518417358
0.9176247864961624,586,0.004214941523969173,261800,5236000,1.8889789581298828
0.6627644300460815,586,0.0087976586073637,261900,5238000,1.7411543130874634
0.9870123025029898,586,0.00512855127453804,262000,5240000,1.9937130212783813
0.9902437767013907,586,0.0037993560545146465,262100,5242000,2.116460084915161
0.993217037525028,586,0.0024319898802787066,262200,5244000,2.086170196533203
0.941264919936657,586,0.012043265625834465,262300,5246000,1.8556525707244873
0.9855352146551013,586,0.009121129289269447,262400,5248000,1.8043159246444702
0.9873751122504473,586,0.005315205082297325,262500,5250000,2.0550949573516846
0.9462807103991508,586,0.01414393913000822,262600,5252000,2.030423402786255
0.9890516111627221,586,0.007143160793930292,262700,5254000,2.0850508213043213
0.9906138712540269,587,0.0006706094136461616,262800,5256000,2.1809792518615723
0.887706458568573,587,0.017061516642570496,262900,5258000,2.1683478355407715
