nupdates,policy_entropy,total_timesteps,fps,explained_variance,value_loss
3500,2.8578217029571533,70000,732,0.6926217377185822,0.08105719089508057
3600,2.741163730621338,72000,731,0.8000313639640808,0.03194674849510193
3700,2.880211353302002,74000,731,0.5510115027427673,0.022502757608890533
3800,2.8554434776306152,76000,731,0.976747564971447,0.008331844583153725
3900,2.8831167221069336,78000,732,0.6978766024112701,0.01992087997496128
4000,2.8750221729278564,80000,731,0.9966705658007413,0.0008122000726871192
4100,2.886334180831909,82000,731,0.9948618891648948,0.0002760994539130479
4200,2.870976448059082,84000,731,0.8754564523696899,0.02784893475472927
4300,2.8815879821777344,86000,732,0.739918053150177,0.01827395148575306
4400,2.878622531890869,88000,732,0.9973199320957065,0.0007489630370400846
4500,2.881739854812622,90000,732,0.9804701749235392,0.00555784348398447
4600,2.8805956840515137,92000,732,0.847917303442955,0.017958441749215126
4700,2.8841800689697266,94000,732,0.9983064269181341,0.00040398925193585455
4800,2.8474857807159424,96000,732,0.8097170740365982,0.0796554759144783
4900,2.8841750621795654,98000,733,0.9086514487862587,0.0017414881149306893
5000,2.887141466140747,100000,733,0.9879763275384903,7.95501473476179e-05
5100,2.8798251152038574,102000,732,0.5444042980670929,0.11711659282445908
5200,2.883272171020508,104000,732,0.9016001969575882,0.004028968047350645
5300,2.8765578269958496,106000,732,0.9801367036998272,0.0023947202134877443
5400,2.8826165199279785,108000,733,0.9400887973606586,0.0034207948483526707
5500,2.882873296737671,110000,733,0.7033738195896149,0.07135133445262909
5600,2.8628199100494385,112000,733,0.3258593678474426,0.07707361876964569
5700,2.88018536567688,114000,733,0.9983674355316907,0.00033025292214006186
5800,2.8645660877227783,116000,733,0.45021677017211914,0.036932483315467834
5900,2.8874638080596924,118000,733,0.9583814665675163,0.00020084783318452537
6000,2.8564467430114746,120000,734,0.9959752224385738,0.0026100948452949524
6100,2.852118730545044,122000,734,0.9208575561642647,0.033905673772096634
6200,2.880129098892212,124000,734,0.6321808099746704,0.04273997247219086
6300,2.8659610748291016,126000,734,0.9823860507458448,0.003001444973051548
6400,2.873955726623535,128000,734,0.9634447507560253,0.0115591362118721
6500,2.869400978088379,130000,735,0.9786232449114323,0.0045412261970341206
6600,2.8748624324798584,132000,735,0.9761851616203785,0.0031756353564560413
6700,2.829761028289795,134000,735,0.9810280911624432,0.01146238949149847
6800,2.8724300861358643,136000,735,0.9446194842457771,0.006869121454656124
6900,2.872191905975342,138000,735,-0.2191934585571289,0.04102558642625809
7000,2.873012065887451,140000,735,0.8966309949755669,0.004242244176566601
7100,2.8850903511047363,142000,735,0.9525410532951355,0.00027663595392368734
7200,2.8808681964874268,144000,735,0.9854705240577459,0.0009332151967100799
7300,2.871738910675049,146000,736,0.9759203400462866,0.0038606771267950535
7400,2.831235408782959,148000,735,0.9529876969754696,0.009927426464855671
7500,2.8729851245880127,150000,736,0.8390785157680511,0.01676127500832081
7600,2.8532605171203613,152000,736,0.9112233966588974,0.033198244869709015
7700,2.813460350036621,154000,736,0.9847525618970394,0.013568450696766376
7800,2.8683629035949707,156000,736,0.9948292658664286,0.0008889954769983888
7900,2.8119218349456787,158000,736,0.6480149328708649,0.10090744495391846
8000,2.8569843769073486,160000,737,0.46690601110458374,0.030120760202407837
8100,2.84198260307312,162000,737,0.9022035449743271,0.0112084299325943
8200,2.6207423210144043,164000,737,0.975567264482379,0.013013316318392754
8300,2.8656930923461914,166000,737,0.6906353831291199,0.02834782935678959
8400,2.832545042037964,168000,737,0.758901059627533,0.022204438224434853
8500,2.8051319122314453,170000,737,0.9122247695922852,0.012198465876281261
8600,2.783566951751709,172000,737,0.9510937370359898,0.01727483421564102
8700,2.8297717571258545,174000,737,0.9984896657988429,0.00012146138760726899
8800,2.8773837089538574,176000,737,0.40968453884124756,0.0014220749726518989
8900,2.6666038036346436,178000,737,0.973880497738719,0.015384025871753693
9000,2.874688148498535,180000,737,0.8412642031908035,0.03479836508631706
9100,2.813170909881592,182000,737,0.9379528351128101,0.030914807692170143
9200,2.8233840465545654,184000,737,-0.5919383764266968,0.11889447271823883
9300,2.87713360786438,186000,737,0.48445749282836914,0.007595045026391745
9400,2.761259078979492,188000,737,0.9015707299113274,0.053089581429958344
9500,2.8755455017089844,190000,737,0.5553244650363922,0.007002793252468109
9600,2.882317304611206,192000,737,-4.447758674621582,0.022921135649085045
9700,2.8650689125061035,194000,737,0.9090269058942795,0.010973185300827026
9800,2.743100643157959,196000,737,0.6449365615844727,0.0791473388671875
9900,2.883120536804199,198000,737,0.5848163068294525,0.006713453680276871
10000,2.817309856414795,200000,737,0.9812355041503906,0.006709537468850613
10100,2.84513521194458,202000,737,0.8404134511947632,0.014364090748131275
10200,2.5975890159606934,204000,737,0.19847071170806885,0.12953966856002808
10300,2.6618053913116455,206000,737,0.5389231145381927,0.029784059152007103
10400,2.7477025985717773,208000,737,0.9665856398642063,0.012697003781795502
10500,1.8398511409759521,210000,737,0.9910755641758442,0.03138602524995804
10600,2.3956637382507324,212000,737,0.976664274930954,0.013248379342257977
10700,2.5417675971984863,214000,737,0.9852065835148096,0.027897566556930542
10800,2.809187889099121,216000,737,0.9835670851171017,0.0070700207725167274
10900,2.4390804767608643,218000,737,0.8782663494348526,0.06905823945999146
11000,2.842214822769165,220000,738,0.8334599733352661,0.025781875476241112
11100,2.820289134979248,222000,737,0.9883896028622985,0.00420396588742733
11200,2.627664089202881,224000,738,0.9987591861281544,0.004136213567107916
11300,2.849134922027588,226000,738,0.5700279176235199,0.045624785125255585
11400,2.1419568061828613,228000,738,0.9534554556012154,0.03453950956463814
11500,2.8469507694244385,230000,738,-0.04874062538146973,0.11236166954040527
11600,2.868502378463745,232000,738,0.9383375495672226,0.0029066549614071846
11700,2.4942116737365723,234000,738,0.9953296268358827,0.004071553237736225
11800,2.8638112545013428,236000,738,0.935010053217411,0.0086244847625494
11900,2.717562198638916,238000,738,0.9529998637735844,0.014903674833476543
12000,2.7521560192108154,240000,738,0.9975346876308322,0.002171323401853442
12100,2.8343048095703125,242000,738,0.8582455813884735,0.011417116038501263
12200,2.8635218143463135,244000,738,0.846984937787056,0.01572347804903984
12300,2.7997934818267822,246000,738,0.996097638271749,0.0029410640709102154
12400,2.8601670265197754,248000,738,0.9672598317265511,0.009237352758646011
12500,2.7538914680480957,250000,738,0.9980288748629391,0.0020192794036120176
12600,2.879725933074951,252000,738,0.9844614258036017,0.00017074306379072368
12700,2.765890121459961,254000,738,0.8969515934586525,0.09136068820953369
12800,2.783039093017578,256000,738,0.8908522054553032,0.06985341012477875
12900,2.831282377243042,258000,738,0.9944859803654253,0.0024278752971440554
13000,2.5843725204467773,260000,738,0.9917916627600789,0.013924705795943737
13100,2.690971612930298,262000,738,0.9922576900571585,0.02087418921291828
13200,2.688988208770752,264000,738,0.9947145851328969,0.004966524429619312
13300,2.860971450805664,266000,738,0.9915515473112464,0.0025729399640113115
13400,2.3525192737579346,268000,738,0.9923547715879977,0.01376129686832428
13500,2.3406548500061035,270000,738,0.9879959207028151,0.012710926122963428
