#{"t_start": 1525402155.9304774, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
250.0,519,1621.804733
230.0,521,1625.517356
250.0,548,1629.489246
190.0,445,1632.658282
210.0,571,1636.752012
220.0,520,1640.475524
250.0,594,1644.679841
170.0,419,1647.651414
230.0,528,1651.343405
240.0,564,1655.385116
210.0,490,1658.87799
230.0,524,1662.625376
220.0,488,1666.108306
190.0,515,1669.680019
180.0,431,1672.689292
250.0,636,1677.203193
220.0,532,1680.870975
180.0,412,1683.771423
220.0,506,1687.277347
180.0,421,1690.350179
220.0,577,1694.433868
230.0,500,1697.974392
210.0,525,1701.724581
190.0,462,1704.99456
210.0,540,1708.805314
190.0,428,1711.830111
240.0,528,1715.590582
260.0,555,1719.477731
220.0,458,1722.681478
220.0,529,1726.371224
250.0,552,1730.241137
220.0,498,1733.778226
210.0,441,1736.920703
220.0,531,1740.649882
200.0,596,1744.84975
220.0,477,1748.173934
220.0,443,1751.275091
190.0,553,1755.200799
210.0,544,1759.116638
220.0,521,1762.860174
220.0,470,1766.222871
220.0,454,1769.551193
210.0,457,1772.73834
250.0,598,1777.129485
210.0,449,1780.301739
240.0,522,1784.078304
220.0,507,1787.680364
220.0,456,1790.902
230.0,579,1795.00452
230.0,459,1798.220916
220.0,480,1801.583918
140.0,493,1805.140953
220.0,502,1808.724335
210.0,457,1811.966406
220.0,485,1815.430192
170.0,395,1818.232482
220.0,504,1821.742464
190.0,544,1825.526305
220.0,469,1828.875574
210.0,517,1832.593515
220.0,478,1835.929584
250.0,490,1839.442372
260.0,556,1843.375969
210.0,508,1846.921228
240.0,490,1850.384511
260.0,571,1854.400368
240.0,557,1858.382461
220.0,471,1861.638809
220.0,469,1865.021711
200.0,488,1868.536365
210.0,513,1872.186967
240.0,554,1876.084452
230.0,484,1879.560716
230.0,436,1882.624463
170.0,418,1885.589716
220.0,569,1889.704229
230.0,528,1893.441972
250.0,592,1897.621792
220.0,522,1901.281773
220.0,455,1904.548536
200.0,475,1907.861606
110.0,463,1911.131654
160.0,483,1914.594002
110.0,365,1917.167058
160.0,434,1920.204772
240.0,491,1923.739665
210.0,523,1927.488571
260.0,587,1931.584194
250.0,521,1935.234769
210.0,503,1938.780654
220.0,508,1942.329901
270.0,598,1946.61288
220.0,543,1950.50728
270.0,601,1954.787925
200.0,480,1958.232913
220.0,489,1961.751668
160.0,473,1965.147846
210.0,481,1968.511348
260.0,656,1973.264589
250.0,607,1977.525913
220.0,456,1980.845027
180.0,436,1983.930883
210.0,520,1987.604576
260.0,537,1991.440439
220.0,505,1995.035971
220.0,480,1998.543613
260.0,541,2002.43728
250.0,590,2006.592725
190.0,441,2009.799506
220.0,498,2013.320258
170.0,448,2016.49871
220.0,484,2020.005163
240.0,554,2024.072002
230.0,477,2027.580423
190.0,411,2030.501647
210.0,523,2034.103398
220.0,466,2037.421917
220.0,469,2040.772153
220.0,570,2044.844102
230.0,579,2048.973402
220.0,532,2052.882345
260.0,562,2056.894014
240.0,491,2060.471246
240.0,574,2064.599691
210.0,459,2067.908503
220.0,494,2071.424098
250.0,499,2074.920486
210.0,440,2078.016778
220.0,532,2081.912863
230.0,494,2085.433918
240.0,498,2089.041823
270.0,564,2092.99463
180.0,466,2096.205593
220.0,560,2100.151419
200.0,444,2103.351483
220.0,496,2106.897784
180.0,455,2110.241932
210.0,464,2113.746392
250.0,504,2117.377175
210.0,472,2120.760921
220.0,492,2124.279418
240.0,596,2128.561362
260.0,549,2132.431677
220.0,490,2135.919094
220.0,539,2139.798308
220.0,475,2143.113498
260.0,559,2147.017018
260.0,571,2151.09321
220.0,501,2154.611778
210.0,456,2157.837034
50.0,296,2159.894235
180.0,492,2163.401667
220.0,498,2166.945664
180.0,396,2169.741084
210.0,443,2172.913701
240.0,651,2177.543614
210.0,462,2180.857988
210.0,558,2184.778125
220.0,447,2187.962262
220.0,469,2191.328371
220.0,469,2194.657096
160.0,473,2198.086042
220.0,546,2202.084261
220.0,445,2205.163044
210.0,497,2208.710635
220.0,484,2212.128021
220.0,455,2215.438831
