value_loss,nupdates,fps,explained_variance,total_timesteps,policy_entropy
0.0016809015069156885,50900,776,0.9780526775866747,1018000,1.770402193069458
0.0034128432162106037,51000,776,0.9786152150481939,1020000,1.7635332345962524
0.011492663063108921,51100,776,0.3644408583641052,1022000,1.7498881816864014
0.004756504204124212,51200,776,0.9220978543162346,1024000,1.7458232641220093
0.014785046689212322,51300,776,0.796565592288971,1026000,1.757163643836975
0.010789912194013596,51400,776,0.6680132746696472,1028000,1.7170372009277344
0.06091012805700302,51500,776,0.5756138861179352,1030000,1.7641836404800415
0.009399023838341236,51600,776,0.8976384475827217,1032000,1.6968433856964111
0.04050879552960396,51700,776,-1.3434014320373535,1034000,1.779376745223999
0.0030006158631294966,51800,776,0.874509647488594,1036000,1.7274854183197021
0.00705322390422225,51900,776,0.648531049489975,1038000,1.7226383686065674
0.004753855522722006,52000,776,0.9338812977075577,1040000,1.7262232303619385
0.05971158295869827,52100,776,0.25649064779281616,1042000,1.7496907711029053
0.05766845494508743,52200,776,0.6570323705673218,1044000,1.7444595098495483
0.0013158146757632494,52300,776,0.9811305738985538,1046000,1.784075140953064
0.0023857303895056248,52400,776,0.8394161313772202,1048000,1.7776501178741455
0.008698338642716408,52500,776,0.7401106953620911,1050000,1.774754285812378
0.013432259671390057,52600,776,0.4711146950721741,1052000,1.7501128911972046
0.011235702782869339,52700,776,0.7282273471355438,1054000,1.743679404258728
0.039122357964515686,52800,776,0.8208259493112564,1056000,1.762457251548767
0.0043946243822574615,52900,776,0.9017522484064102,1058000,1.6724951267242432
0.004710963927209377,53000,776,0.7262603640556335,1060000,1.763363242149353
0.0032206340692937374,53100,776,0.7711085081100464,1062000,1.7628227472305298
0.0009675755864009261,53200,776,0.9778744168579578,1064000,1.7158282995224
0.009712008759379387,53300,776,0.9279092848300934,1066000,1.7551298141479492
0.014607561752200127,53400,776,0.6468929052352905,1068000,1.6078468561172485
0.007779388222843409,53500,776,0.9278521165251732,1070000,1.716655969619751
0.00037689111195504665,53600,776,0.9975399249233305,1072000,1.7655168771743774
0.01409582607448101,53700,776,0.841593399643898,1074000,1.7415955066680908
0.00596800958737731,53800,776,0.9079013243317604,1076000,1.7652645111083984
0.005237520672380924,53900,776,0.6421671807765961,1078000,1.7682228088378906
0.018569640815258026,54000,776,0.8412963151931763,1080000,1.6778522729873657
0.003593259956687689,54100,776,0.15985894203186035,1082000,1.760541558265686
0.015097293071448803,54200,776,0.8118593841791153,1084000,1.7106482982635498
0.0378628671169281,54300,776,0.5265548527240753,1086000,1.6617834568023682
0.001683475449681282,54400,776,0.9695026911795139,1088000,1.7314567565917969
0.005264506209641695,54500,776,-1.235389232635498,1090000,1.7566198110580444
