nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
6700,0.006131232250481844,2.871821880340576,655,134000,0.9354888573288918
6800,0.021698085591197014,2.86841082572937,655,136000,0.8439370393753052
6900,0.021563997492194176,2.859873056411743,655,138000,0.9602979123592377
7000,0.02184164524078369,2.85872483253479,655,140000,0.9324785694479942
7100,0.0007627586019225419,2.8814406394958496,655,142000,0.9851796599105
7200,0.0003164910012856126,2.8709232807159424,655,144000,0.9982088754186407
7300,0.004490927793085575,2.8804712295532227,655,146000,0.7125721275806427
7400,0.09417767077684402,2.8583807945251465,655,148000,0.8000783771276474
7500,0.019467514008283615,2.87990140914917,655,150000,0.7379982173442841
7600,0.15734010934829712,2.8699851036071777,655,152000,0.5181060135364532
7700,0.06941250711679459,2.876190423965454,655,154000,0.30928874015808105
7800,0.10271364450454712,2.842226505279541,655,156000,-0.1685178279876709
7900,0.0021740763913840055,2.861572742462158,655,158000,0.9887511329725385
8000,0.00919139664620161,2.8574166297912598,655,160000,0.9650761634111404
8100,0.023667754605412483,2.86541748046875,655,162000,0.6402556300163269
8200,0.03839217126369476,2.851515293121338,655,164000,0.9364058598876
8300,0.000522058573551476,2.880788803100586,655,166000,0.5718920528888702
8400,0.046115435659885406,2.8505215644836426,655,168000,0.7706554383039474
8500,0.06269232928752899,2.8102288246154785,655,170000,0.9141197055578232
8600,0.02138698659837246,2.828630208969116,655,172000,0.9486615508794785
8700,0.03578953444957733,2.812596082687378,656,174000,0.9660778678953648
8800,0.10328004509210587,2.8715977668762207,656,176000,0.5241314768791199
8900,0.06734742224216461,2.872415542602539,656,178000,0.5346404910087585
9000,0.05783495306968689,2.8571200370788574,656,180000,0.7020196616649628
9100,0.038545865565538406,2.87898588180542,656,182000,0.2891465425491333
9200,0.030064458027482033,2.86378812789917,656,184000,0.8451851457357407
9300,0.016293715685606003,2.8770246505737305,656,186000,0.6585597693920135
9400,0.002057908568531275,2.8707058429718018,656,188000,0.9602558761835098
9500,0.0641581192612648,2.8408172130584717,656,190000,-0.35948729515075684
9600,0.01396829355508089,2.864288806915283,656,192000,0.6994664967060089
9700,0.011235606856644154,2.8076705932617188,656,194000,0.9853438260033727
9800,0.04690110683441162,2.8621411323547363,656,196000,0.6565462648868561
9900,0.011691904626786709,2.852590799331665,656,198000,0.9670561142265797
10000,0.011589689180254936,2.851264238357544,656,200000,0.980985015630722
10100,0.0045759850181639194,2.8841712474823,655,202000,-0.5116223096847534
10200,0.09868994355201721,2.8318190574645996,656,204000,0.6769619286060333
10300,0.0406249538064003,2.864713191986084,655,206000,0.8140865862369537
10400,0.023773061111569405,2.8742027282714844,655,208000,0.8228129595518112
10500,0.036488838493824005,2.7949204444885254,656,210000,0.9714574590325356
10600,0.007360529154539108,2.8409252166748047,656,212000,0.9849938675761223
10700,0.13026338815689087,2.86897611618042,656,214000,0.2415841817855835
10800,0.001824292354285717,2.8820600509643555,656,216000,0.9601970873773098
10900,0.13414715230464935,2.836150646209717,656,218000,0.8051599562168121
11000,0.0021460200659930706,2.8673808574676514,656,220000,0.9865328529849648
11100,0.07956082373857498,2.881009817123413,656,222000,0.04810225963592529
11200,0.03515792638063431,2.7678239345550537,656,224000,0.945434994995594
11300,0.010535347275435925,2.8275046348571777,656,226000,0.9818587005138397
11400,0.015804115682840347,2.8445143699645996,656,228000,0.9354643300175667
11500,0.018425974994897842,2.8518359661102295,656,230000,0.9252979680895805
11600,0.0008126251632347703,2.88370680809021,656,232000,-2.104825019836426
11700,0.026429787278175354,2.87587833404541,656,234000,0.855174794793129
11800,0.1385250985622406,2.8546929359436035,656,236000,0.6857751309871674
11900,0.0025384989567101,2.880533218383789,656,238000,0.8496285676956177
12000,0.03057904541492462,2.872023582458496,656,240000,0.5553770363330841
12100,0.027920734137296677,2.8735480308532715,656,242000,0.8913890793919563
12200,0.001638008514419198,2.872507333755493,656,244000,0.9513732679188251
12300,0.018207253888249397,2.8733956813812256,657,246000,0.8255340605974197
12400,0.0008963129366748035,2.8000411987304688,657,248000,0.9726732261478901
12500,0.004905888345092535,2.8386425971984863,657,250000,0.9925292525440454
12600,0.03746657818555832,2.864072561264038,657,252000,0.8163323700428009
12700,0.004568767733871937,2.8550403118133545,657,254000,0.9848831808194518
12800,0.020902978256344795,2.823030948638916,657,256000,0.9832187127321959
12900,0.12342192232608795,2.731613874435425,657,258000,0.9019054099917412
13000,0.01640189252793789,2.841601848602295,657,260000,0.9751072954386473
13100,0.030530404299497604,2.6605923175811768,657,262000,0.9482261799275875
13200,0.022793900221586227,2.8066608905792236,657,264000,0.9624701365828514
13300,0.009963041171431541,1.915204405784607,657,266000,0.9904182972386479
13400,0.01446460373699665,2.7780823707580566,657,268000,0.9867584696039557
13500,0.004597739782184362,2.7597925662994385,657,270000,0.9968206260818988
13600,0.004816446918994188,2.8379740715026855,657,272000,0.9927477082237601
13700,0.018874648958444595,2.7765440940856934,657,274000,0.9695728737860918
13800,0.046658992767333984,2.3923773765563965,657,276000,0.9645707756280899
13900,0.027041548863053322,2.4531075954437256,657,278000,0.9831300340592861
14000,0.0004027613322250545,2.8739802837371826,657,280000,0.9883468179032207
14100,0.007090130355209112,2.7438011169433594,657,282000,0.9965848501306027
14200,0.006909349001944065,2.4696948528289795,657,284000,0.9899751571938396
14300,0.03121417760848999,2.760258913040161,657,286000,0.9507750608026981
14400,0.021454965695738792,2.7657630443573,657,288000,0.9729544911533594
14500,0.02575310505926609,2.648545026779175,657,290000,0.9505026191473007
14600,0.0014607204357162118,2.599538803100586,657,292000,0.9991920222528279
14700,0.0023244190961122513,2.8815083503723145,657,294000,0.9555275440216064
14800,0.022140126675367355,2.8558287620544434,657,296000,0.7784485220909119
14900,0.0017885023262351751,2.6759047508239746,657,298000,0.999146796646528
15000,0.02545243874192238,2.7957324981689453,657,300000,0.9849931476637721
15100,0.006923462264239788,2.6637978553771973,657,302000,0.9959958419203758
15200,0.024913150817155838,2.7542941570281982,657,304000,0.9841516874730587
15300,0.06532948464155197,2.468172550201416,657,306000,0.908384308218956
15400,0.017035316675901413,2.8093347549438477,657,308000,0.9324811771512032
15500,0.0049424367025494576,2.7594215869903564,657,310000,0.9937210204079747
15600,0.003033193526789546,2.746471881866455,657,312000,0.996749158250168
15700,0.09068503975868225,2.5222246646881104,657,314000,0.9650677926838398
15800,0.011215116828680038,2.5533196926116943,657,316000,0.9943266273476183
15900,0.00710566621273756,2.8043007850646973,657,318000,0.9910879731178284
16000,0.05043347552418709,2.5208888053894043,657,320000,0.9255544170737267
16100,0.0013884376967325807,2.51261043548584,657,322000,0.9978463335428387
16200,0.0038701165467500687,2.866602659225464,657,324000,0.9907112549990416
16300,0.08963511884212494,2.7406420707702637,657,326000,0.8695423305034637
16400,0.02038104273378849,2.52348256111145,657,328000,0.9498883895576
16500,0.004161636810749769,2.7617533206939697,657,330000,0.997715910198167
16600,0.00705796480178833,2.5877296924591064,657,332000,0.9959968384355307
16700,0.0024466714821755886,2.6980018615722656,657,334000,0.9993334383470938
16800,0.02549598179757595,2.844285726547241,657,336000,0.8774795159697533
16900,0.06773053854703903,2.3877310752868652,657,338000,0.916285440325737
17000,0.02039959654211998,2.7452054023742676,657,340000,0.964293722063303
17100,0.07074334472417831,2.6619820594787598,657,342000,0.8869961574673653
17200,0.0011643737088888884,2.877824306488037,657,344000,0.9360287711024284
17300,0.04015958309173584,2.7846920490264893,657,346000,0.9731324762105942
17400,0.024146806448698044,2.3018760681152344,657,348000,0.9761633779853582
