fps,value_loss,nupdates,policy_entropy,explained_variance,total_timesteps
844,3.8503549149027094e-05,9500,1.7908153533935547,0.9116467013955116,190000
844,8.356670150533319e-05,9600,1.790680170059204,-0.15167200565338135,192000
844,7.065026147756726e-05,9700,1.790448784828186,0.8574078232049942,194000
844,6.975507858442143e-05,9800,1.7906547784805298,-0.3198239803314209,196000
844,7.65173026593402e-05,9900,1.789398193359375,0.23368394374847412,198000
844,5.204612898523919e-05,10000,1.7902202606201172,0.8236951380968094,200000
844,5.4347921832231805e-05,10100,1.7904646396636963,0.6219518780708313,202000
844,4.393910785438493e-05,10200,1.7903106212615967,0.32380402088165283,204000
844,4.5018601667834446e-05,10300,1.7903608083724976,0.9657957404851913,206000
844,5.9533718740567565e-05,10400,1.7902101278305054,5.036592483520508e-05,208000
844,0.0002204532502219081,10500,1.7899370193481445,-0.13561177253723145,210000
844,5.9121648519067094e-05,10600,1.7902402877807617,0.8439095616340637,212000
844,0.0002410618617432192,10700,1.7898420095443726,-0.21477890014648438,214000
844,9.228322596754879e-05,10800,1.7899010181427002,0.9456271007657051,216000
844,5.895752110518515e-05,10900,1.7903544902801514,0.05390346050262451,218000
844,8.204843470593914e-05,11000,1.7901668548583984,0.9554156996309757,220000
844,5.2910523663740605e-05,11100,1.7898271083831787,0.9470984824001789,222000
844,7.250476483022794e-05,11200,1.7900354862213135,0.9797429163008928,224000
844,0.00011411700688768178,11300,1.7901712656021118,0.9493494033813477,226000
844,4.6250250306911767e-05,11400,1.790529489517212,0.9770984761416912,228000
844,0.08427129685878754,11500,1.7903468608856201,0.11206328868865967,230000
844,0.00013598866644315422,11600,1.789785623550415,0.9675359427928925,232000
844,0.00012356447405181825,11700,1.7890695333480835,-0.2683403491973877,234000
844,7.10267195245251e-05,11800,1.7896562814712524,-0.24538719654083252,236000
844,0.0001374121493427083,11900,1.789192795753479,0.9510640427470207,238000
844,0.0010863435454666615,12000,1.789724588394165,0.47453629970550537,240000
844,4.2000643588835374e-05,12100,1.7903867959976196,0.8998377323150635,242000
844,4.300447108107619e-05,12200,1.7902145385742188,0.9956937236711383,244000
844,3.590177948353812e-05,12300,1.7896728515625,-0.19532370567321777,246000
844,5.4131378419697285e-05,12400,1.7896846532821655,0.9942239946685731,248000
844,6.989492976572365e-05,12500,1.7891778945922852,0.9923449838533998,250000
844,5.047873855801299e-05,12600,1.7899805307388306,0.9905391270294785,252000
844,8.624414476798847e-05,12700,1.7897322177886963,0.3433949947357178,254000
844,0.0012034575920552015,12800,1.789910078048706,-32.20854949951172,256000
844,6.793926877435297e-05,12900,1.7900127172470093,0.9946086602285504,258000
844,9.79893738985993e-05,13000,1.78983473777771,0.9929044265300035,260000
844,6.64949111524038e-05,13100,1.7904993295669556,-3.59623384475708,262000
844,9.863850573310629e-05,13200,1.7889595031738281,0.9661000072956085,264000
844,0.00221306667663157,13300,1.7898117303848267,0.7483140826225281,266000
844,0.00024940582807175815,13400,1.7885128259658813,0.9886609548702836,268000
844,0.00014129825285635889,13500,1.7892414331436157,0.9941220879554749,270000
844,0.019209876656532288,13600,1.789798378944397,0.3155774474143982,272000
844,7.461950008291751e-05,13700,1.7899510860443115,0.9928828310221434,274000
844,6.466785271186382e-05,13800,1.7902008295059204,0.9966376102529466,276000
844,0.00011502712732180953,13900,1.7905447483062744,0.9884632024914026,278000
844,0.00023234434775076807,14000,1.7906252145767212,0.9837381131947041,280000
844,0.00033447699388489127,14100,1.7898963689804077,0.9935175911523402,282000
844,8.629453805042431e-05,14200,1.7902568578720093,0.9967131076846272,284000
844,4.50465377070941e-05,14300,1.7903846502304077,0.9980793081922457,286000
844,2.156873779313173e-05,14400,1.7901350259780884,0.9984643106581643,288000
844,0.00011205163173144683,14500,1.7904115915298462,0.9961200347170234,290000
844,0.00010960271174553782,14600,1.7901649475097656,0.9930172949098051,292000
844,0.00015985351637937129,14700,1.790736198425293,0.9847374204546213,294000
844,0.00030340871307998896,14800,1.7907766103744507,0.9796847812831402,296000
844,0.008196786977350712,14900,1.790877103805542,-52.47861099243164,298000
844,0.002938887570053339,15000,1.791131615638733,0.7202585637569427,300000
844,0.00017835439939517528,15100,1.7912547588348389,0.9964590347371995,302000
844,0.00017672873218543828,15200,1.7911279201507568,0.9879543017596006,304000
844,0.00013956017210148275,15300,1.7912342548370361,0.9931502025574446,306000
844,0.001159738632850349,15400,1.791261911392212,0.8024547249078751,308000
844,5.3927920816931874e-05,15500,1.7914421558380127,0.9978839689865708,310000
844,0.00022818338766228408,15600,1.7908027172088623,0.9879213403910398,312000
844,0.0001167267473647371,15700,1.7911245822906494,0.9935542531311512,314000
844,0.00028825196204707026,15800,1.791102647781372,-20.818016052246094,316000
844,0.0002521718852221966,15900,1.7905811071395874,0.9944216678850353,318000
845,6.988769746385515e-05,16000,1.7907578945159912,0.998201853595674,320000
845,4.3572759750531986e-05,16100,1.7909787893295288,0.8287491649389267,322000
845,0.00012419697304721922,16200,1.7907474040985107,0.9842515494674444,324000
845,0.02558649145066738,16300,1.7910926342010498,0.5276592969894409,326000
845,0.0025578064378350973,16400,1.7912566661834717,0.8484218269586563,328000
845,2.904986649809871e-05,16500,1.7912378311157227,0.9989344868808985,330000
845,0.00011244132474530488,16600,1.7914745807647705,-0.27819228172302246,332000
845,0.00020604996825568378,16700,1.7910207509994507,0.9849401107057929,334000
845,0.00011692792031681165,16800,1.7912495136260986,0.990944136865437,336000
845,2.1811425540363416e-05,16900,1.7913739681243896,0.597894012928009,338000
845,3.5031949664698914e-05,17000,1.7910358905792236,0.9872163096442819,340000
845,0.0004570264427457005,17100,1.7913042306900024,0.9852897441014647,342000
845,0.0003105243667960167,17200,1.7915531396865845,0.9419753924012184,344000
845,0.00011835528130177408,17300,1.791471242904663,0.9967168981675059,346000
845,5.81704152864404e-05,17400,1.7915786504745483,0.9981500449357554,348000
845,0.0002402403624728322,17500,1.7916332483291626,0.5622831881046295,350000
845,0.00044993095798417926,17600,1.7915704250335693,0.9756145346909761,352000
844,0.00017661493620835245,17700,1.7913763523101807,0.9944438394159079,354000
844,0.0015209440607577562,17800,1.791330337524414,-0.5999298095703125,356000
844,0.000348918343661353,17900,1.7911376953125,0.9943783888593316,358000
844,0.0013267714530229568,18000,1.7910057306289673,0.7770388424396515,360000
844,6.969866808503866e-05,18100,1.7908174991607666,0.9988541586790234,362000
844,0.004525433294475079,18200,1.791060209274292,0.66327965259552,364000
844,0.00010514443420106545,18300,1.791347861289978,0.9974253762047738,366000
844,0.023242201656103134,18400,1.7911739349365234,0.4758422374725342,368000
844,0.00031240342650562525,18500,1.7913291454315186,-1.221529245376587,370000
844,0.0017062354600057006,18600,1.791346788406372,0.9129736870527267,372000
844,3.129975448246114e-05,18700,1.7912744283676147,0.03693842887878418,374000
844,4.369315502117388e-05,18800,1.7910505533218384,0.10546672344207764,376000
844,0.00018241429643239826,18900,1.7909040451049805,0.9766157232224941,378000
844,0.00026275552227161825,19000,1.7906137704849243,0.992683238349855,380000
844,0.00018815012299455702,19100,1.7903627157211304,0.991138937883079,382000
844,0.00019746841280721128,19200,1.7900711297988892,0.9906863374635577,384000
844,0.00014002565876580775,19300,1.7904186248779297,0.990545867010951,386000
844,0.0024947484489530325,19400,1.7902190685272217,0.8743758648633957,388000
844,0.00013902553473599255,19500,1.7902711629867554,0.9970382044557482,390000
844,0.00023491813044529408,19600,1.7904794216156006,0.9923271778970957,392000
844,0.00012739629892166704,19700,1.790278673171997,0.9940336546860635,394000
844,0.00024230238341260701,19800,1.7902939319610596,0.9931132262572646,396000
844,0.0009001819416880608,19900,1.7906469106674194,0.941082589328289,398000
844,0.0019888062961399555,20000,1.7906906604766846,0.7183114886283875,400000
844,0.00022314235684461892,20100,1.790663480758667,0.9866629969328642,402000
844,0.0002187052450608462,20200,1.7904952764511108,0.9933630879968405,404000
844,9.285342821385711e-05,20300,1.7904586791992188,0.9849480232223868,406000
844,0.0008648053626529872,20400,1.7901878356933594,0.9365376085042953,408000
844,0.000349510635714978,20500,1.7906150817871094,0.958006139844656,410000
844,0.0012829493498429656,20600,1.790317177772522,0.9601212553679943,412000
844,0.0015146867372095585,20700,1.7911468744277954,0.8379544913768768,414000
844,0.0025383993051946163,20800,1.7909088134765625,0.7757938355207443,416000
844,0.012306979857385159,20900,1.790675401687622,0.5024601221084595,418000
844,0.0017790388083085418,21000,1.7907756567001343,0.8921427503228188,420000
844,0.0018273390596732497,21100,1.790662407875061,0.6751637756824493,422000
844,0.00010478871263330802,21200,1.7910137176513672,0.7773058414459229,424000
844,0.0012950149830430746,21300,1.7913153171539307,0.8476116955280304,426000
844,0.009928397834300995,21400,1.7914495468139648,0.6991075575351715,428000
844,0.0018164139473810792,21500,1.7914899587631226,0.9520470164716244,430000
844,0.00017901574028655887,21600,1.7915490865707397,0.9924729475751519,432000
844,0.008327432908117771,21700,1.7913258075714111,0.42764538526535034,434000
845,0.0026112610939890146,21800,1.790979027748108,-0.10989058017730713,436000
845,8.114027150440961e-05,21900,1.7912168502807617,0.8870804682374,438000
845,7.184204150689766e-05,22000,1.7912276983261108,0.8368126600980759,440000
845,0.007214761339128017,22100,1.791259765625,-3.567875862121582,442000
845,0.0003499156446196139,22200,1.7909677028656006,0.9865156477317214,444000
845,0.0010683841537684202,22300,1.7910401821136475,0.8509229272603989,446000
845,0.00028036494040861726,22400,1.7912832498550415,0.9745017066597939,448000
845,0.00026836723554879427,22500,1.7909826040267944,0.7499330043792725,450000
845,0.00012722567771561444,22600,1.7910703420639038,0.9913716064766049,452000
845,0.0027666857931762934,22700,1.7913402318954468,0.8359303325414658,454000
845,0.005895004607737064,22800,1.7911983728408813,0.7131972908973694,456000
845,0.0023630461655557156,22900,1.7912347316741943,-0.4399130344390869,458000
845,0.0019125562394037843,23000,1.7909094095230103,0.8384612053632736,460000
845,0.0005683297058567405,23100,1.7910152673721313,0.9784269258379936,462000
845,0.015753595158457756,23200,1.79081130027771,0.8185275048017502,464000
845,0.00023316778242588043,23300,1.7911159992218018,0.9900574302300811,466000
845,0.00016331735241692513,23400,1.790930986404419,0.9904544139280915,468000
845,0.0004897500621154904,23500,1.791155219078064,0.967516053467989,470000
845,0.00017370063869748265,23600,1.7910867929458618,0.9831903427839279,472000
845,0.00017538873362354934,23700,1.7909259796142578,0.880363792181015,474000
845,0.0001785697095328942,23800,1.7910029888153076,0.2760893702507019,476000
845,0.0007882954669184983,23900,1.7913274765014648,0.9773656651377678,478000
845,0.00011719082249328494,24000,1.791203260421753,0.9942573294974864,480000
845,0.00036233742139302194,24100,1.7909799814224243,0.9778076913207769,482000
845,0.00027213842258788645,24200,1.7907127141952515,0.9845398999750614,484000
845,0.00012251136649865657,24300,1.7906230688095093,0.9439146444201469,486000
845,0.0008765301899984479,24400,1.7904541492462158,0.9380371607840061,488000
845,0.0007606909493915737,24500,1.790509819984436,0.9176027402281761,490000
845,0.001635771943256259,24600,1.790077567100525,0.9141576960682869,492000
845,0.0011891579488292336,24700,1.7899385690689087,0.8617090433835983,494000
845,0.0027651493437588215,24800,1.7904058694839478,0.9200292676687241,496000
845,0.0002127024345099926,24900,1.7902711629867554,0.8524031043052673,498000
845,0.010926520451903343,25000,1.7899103164672852,0.22358465194702148,500000
845,0.0003179272753186524,25100,1.790555715560913,0.476812481880188,502000
845,0.0005239559686742723,25200,1.7906852960586548,0.9888341529294848,504000
845,0.0006839992711320519,25300,1.7906408309936523,0.9412800595164299,506000
845,0.0019645709544420242,25400,1.7910516262054443,0.673687756061554,508000
845,0.007137225475162268,25500,1.7906990051269531,0.5738196671009064,510000
845,0.0007415568688884377,25600,1.791046142578125,0.8777351230382919,512000
845,0.0003385714371688664,25700,1.7910757064819336,0.952825278043747,514000
845,0.00021229432604741305,25800,1.7910997867584229,0.9693963136523962,516000
845,0.0003555509902071208,25900,1.791008710861206,0.9818846210837364,518000
845,0.00027369402232579887,26000,1.7909196615219116,0.9901407137513161,520000
845,0.0017303569475188851,26100,1.7904937267303467,0.932546466588974,522000
845,0.0039352611638605595,26200,1.7903938293457031,0.5734277069568634,524000
845,0.014426754787564278,26300,1.7903465032577515,0.5354461669921875,526000
845,0.00044371080002747476,26400,1.7904409170150757,0.9787523411214352,528000
845,0.00020613746892195195,26500,1.7902053594589233,0.9887304343283176,530000
845,0.0011114513035863638,26600,1.7906659841537476,0.963685430586338,532000
845,0.028851252049207687,26700,1.7901294231414795,0.5449200868606567,534000
845,0.0006519202725030482,26800,1.7902616262435913,0.9741394650191069,536000
