total_timesteps,fps,policy_entropy,value_loss,explained_variance,nupdates
5376000,519,2.0020408630371094,0.003144777612760663,0.9950621514581144,268800
5378000,519,1.8714898824691772,0.003440223168581724,0.992835427634418,268900
5380000,519,2.0978381633758545,0.004230913240462542,0.9303020015358925,269000
5382000,519,1.89705491065979,0.0072534880600869656,0.9787520095705986,269100
5384000,519,1.7296326160430908,0.003044302109628916,0.9928235867992043,269200
5386000,519,1.8610156774520874,0.01168085541576147,0.9804986417293549,269300
5388000,519,1.936771035194397,0.0045551722869277,0.9929115953855217,269400
5390000,519,2.0153884887695312,0.009823890402913094,0.97618711553514,269500
5392000,519,1.8985836505889893,0.022703606635332108,0.9383033514022827,269600
5394000,519,1.8635677099227905,0.047433964908123016,0.9089808613061905,269700
5396000,519,1.810138463973999,0.05174710229039192,0.9393023140728474,269800
5398000,519,1.8593111038208008,0.015999503433704376,0.9189531356096268,269900
5400000,519,1.9551193714141846,0.01798621006309986,0.9754607770591974,270000
5402000,519,1.824877142906189,0.005889387801289558,0.9296254590153694,270100
5404000,519,1.8606277704238892,0.00991879403591156,0.9381316639482975,270200
5406000,519,1.6983413696289062,0.004040339030325413,0.9901042738929391,270300
5408000,519,2.062680721282959,0.009656582958996296,0.9838426653295755,270400
5410000,520,1.7413082122802734,0.006506715901196003,0.9885586174204946,270500
5412000,520,1.9154069423675537,0.020432600751519203,0.9545491337776184,270600
5414000,520,1.6719377040863037,0.02072135917842388,0.8361846506595612,270700
5416000,520,1.9007946252822876,0.006068941205739975,0.8523595780134201,270800
5418000,520,1.9385267496109009,0.002935257973149419,0.9923120876774192,270900
5420000,520,1.8956934213638306,0.008441184647381306,0.9761074222624302,271000
5422000,520,1.609697937965393,0.012654389254748821,0.9321780949831009,271100
5424000,520,2.018803119659424,0.013264408335089684,0.9822635892778635,271200
5426000,520,1.7968881130218506,0.0057839625515043736,0.9623640179634094,271300
5428000,520,1.8953063488006592,0.00384830916300416,0.993137645535171,271400
5430000,520,1.802999496459961,0.00742852920666337,0.8418837636709213,271500
5432000,520,2.027914524078369,0.018517833203077316,0.9570433087646961,271600
5434000,520,1.845166802406311,0.009454081766307354,0.7587124407291412,271700
5436000,520,2.004509449005127,0.022312987595796585,0.9497475773096085,271800
5438000,520,1.8622280359268188,0.007304063998162746,0.957404125481844,271900
