total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
23600,0.8335692882537842,1.7616238594055176,5.9354679251555353e-05,5900,479
24000,0.8004322797060013,1.7628779411315918,7.401174661936238e-05,6000,479
24400,0.9124068766832352,1.7762084007263184,7.975169137353078e-05,6100,478
24800,0.9372633025050163,1.7618305683135986,8.30165299703367e-05,6200,477
25200,0.720457136631012,1.7411541938781738,8.533793152309954e-05,6300,477
25600,0.7682040184736252,1.760308861732483,6.972631672397256e-05,6400,476
26000,0.959949404001236,1.7755903005599976,7.201007974799722e-05,6500,476
26400,0.8246535062789917,1.7732465267181396,7.158747757785022e-05,6600,475
26800,0.8616573810577393,1.7589824199676514,6.324903370114043e-05,6700,474
27200,0.7218532264232635,1.727816104888916,7.006945816101506e-05,6800,473
27600,0.7696996480226517,1.7674026489257812,8.147668995661661e-05,6900,473
28000,0.8691450357437134,1.7461295127868652,7.044381345622241e-05,7000,472
28400,0.8418451994657516,1.742772102355957,7.274837116710842e-05,7100,472
28800,0.9786549936980009,1.769692063331604,6.889386713737622e-05,7200,471
29200,0.00030815601348876953,1.7736092805862427,0.1221408098936081,7300,471
29600,-1.0374460220336914,1.7747743129730225,6.209428829606622e-05,7400,471
30000,0.6498691141605377,1.7817304134368896,6.154774746391922e-05,7500,470
30400,0.5561558902263641,1.7788424491882324,4.493084270507097e-05,7600,470
30800,0.7311224043369293,1.7658839225769043,3.461434243945405e-05,7700,469
31200,0.49073123931884766,1.7718513011932373,4.5144770410843194e-05,7800,468
31600,-8.130073547363281e-05,1.762050986289978,0.122466541826725,7900,468
32000,0.8321710079908371,1.7784022092819214,5.969267658656463e-05,8000,468
32400,0.6898591816425323,1.7782049179077148,4.072528827236965e-05,8100,467
32800,0.8429725021123886,1.7908748388290405,4.690560672315769e-05,8200,467
33200,0.9713975675404072,1.7860848903656006,5.419272565632127e-05,8300,466
33600,0.8827021792531013,1.7856676578521729,6.157229654490948e-05,8400,466
34000,-0.10685157775878906,1.78546142578125,7.003760401858017e-05,8500,466
34400,0.9296321347355843,1.783888578414917,7.221272244350985e-05,8600,466
34800,0.00032651424407958984,1.7832956314086914,0.12205154448747635,8700,465
35200,0.8795942813158035,1.7863906621932983,6.0340611526044086e-05,8800,465
35600,0.9714026842266321,1.7891998291015625,7.054152229102328e-05,8900,465
36000,0.9514855295419693,1.7697638273239136,6.278960790950805e-05,9000,464
