#{"t_start": 1525020087.8698497, "env_id": "PongNoFrameskip-v4"}
r,l,t
20.0,1782,4830.032915
18.0,2037,4838.5948
20.0,1743,4845.965517
20.0,1722,4853.194681
20.0,1739,4860.55881
20.0,1707,4867.763112
18.0,1909,4875.83505
20.0,1771,4883.291239
20.0,1666,4890.358696
19.0,1792,4897.974952
17.0,1928,4906.153349
21.0,1688,4913.288116
19.0,1807,4920.940629
20.0,1848,4928.726658
20.0,1655,4935.701717
18.0,2148,4944.751022
19.0,1814,4952.487247
21.0,1665,4959.514439
18.0,1842,4967.272799
21.0,1688,4974.379252
20.0,1789,4981.946263
19.0,1960,4990.196034
19.0,1835,4997.93957
20.0,1721,5005.183886
20.0,1810,5012.797221
19.0,1742,5020.107702
19.0,1833,5027.84388
18.0,1948,5036.021471
19.0,1822,5043.678867
20.0,1727,5050.938737
21.0,1648,5057.874046
21.0,1714,5065.082835
21.0,1631,5071.992136
20.0,1744,5079.342745
20.0,1691,5086.491729
20.0,1692,5093.627479
20.0,1662,5100.639629
20.0,1696,5107.774985
19.0,1785,5115.296427
21.0,1694,5122.439145
20.0,1739,5129.759037
21.0,1648,5136.698658
19.0,1812,5144.329818
20.0,1687,5151.46292
21.0,1627,5158.331051
18.0,1927,5166.454274
20.0,1689,5173.572947
20.0,1809,5181.212065
20.0,1714,5188.427665
21.0,1643,5195.402097
21.0,1809,5202.99527
21.0,1624,5209.812691
17.0,1863,5217.687923
20.0,1700,5224.857286
19.0,1800,5232.427639
20.0,1720,5239.660699
21.0,1625,5246.481335
20.0,1818,5254.177598
20.0,1693,5261.331964
19.0,1841,5269.136301
20.0,1744,5276.556375
20.0,1700,5283.773157
20.0,1808,5291.456271
20.0,1726,5298.778188
20.0,1671,5305.872289
20.0,1701,5313.120896
20.0,1722,5320.442347
21.0,1690,5327.618602
18.0,1818,5335.354759
19.0,1719,5342.665535
19.0,1805,5350.317653
20.0,1696,5357.506275
21.0,1650,5364.507106
18.0,1925,5372.70225
20.0,1688,5379.853427
19.0,1768,5387.356035
21.0,1661,5394.460628
20.0,1721,5401.780214
3.0,2368,5411.880407
20.0,1739,5419.272808
20.0,1747,5426.724158
20.0,1668,5433.813941
21.0,1769,5441.315368
21.0,1648,5448.326378
19.0,1762,5455.776179
21.0,1625,5462.705792
20.0,1666,5469.798081
21.0,1648,5476.793104
21.0,1647,5483.798766
19.0,1765,5491.309065
19.0,1696,5498.524717
21.0,1680,5505.621079
21.0,1644,5512.598231
20.0,1739,5519.974666
21.0,1648,5526.945242
19.0,1928,5535.106228
21.0,1708,5542.357476
20.0,1716,5549.644084
20.0,1781,5557.190786
15.0,1896,5565.196898
21.0,1647,5572.181485
19.0,1789,5579.786705
20.0,1673,5586.87488
19.0,1815,5594.582791
21.0,1650,5601.586648
20.0,1723,5608.930032
14.0,1919,5617.121737
20.0,1717,5624.407316
14.0,2246,5633.905123
21.0,1713,5641.157079
21.0,1620,5647.999172
20.0,1680,5655.053133
20.0,1710,5662.29189
20.0,1701,5669.485542
20.0,1739,5676.820056
19.0,1921,5684.941853
20.0,1681,5692.068222
20.0,1862,5699.929411
21.0,1693,5707.064107
20.0,1723,5714.342089
20.0,1665,5721.362298
20.0,1700,5728.515165
20.0,1717,5735.791869
20.0,1674,5742.839022
21.0,1621,5749.692951
21.0,1621,5756.494618
17.0,2038,5765.102867
20.0,1678,5772.200381
21.0,1621,5779.0406
21.0,1640,5785.961415
20.0,1686,5793.054782
19.0,1730,5800.328957
18.0,1940,5808.463257
21.0,1647,5815.348364
21.0,1621,5822.165826
20.0,1685,5829.304109
19.0,1742,5836.644706
21.0,1649,5843.61589
18.0,2094,5852.501377
20.0,1762,5859.961177
20.0,1829,5867.67586
20.0,1711,5874.903549
21.0,1649,5881.879035
20.0,1736,5889.195932
20.0,1703,5896.378909
18.0,1865,5904.231577
19.0,1770,5911.70787
20.0,1724,5918.980196
20.0,1690,5926.083501
15.0,1898,5934.069512
20.0,1715,5941.347215
20.0,1688,5948.502616
20.0,1682,5955.596293
20.0,1708,5962.793242
19.0,1777,5970.311669
20.0,1697,5977.478923
21.0,1645,5984.403973
20.0,1694,5991.556668
21.0,1631,5998.425958
19.0,1849,6006.224988
21.0,1686,6013.347313
19.0,1917,6021.418605
20.0,1747,6028.767971
21.0,1663,6035.748941
19.0,1883,6043.684891
20.0,1753,6051.033174
21.0,1644,6057.935917
20.0,1663,6064.930025
21.0,1681,6072.029201
20.0,1722,6079.27882
21.0,1649,6086.242682
20.0,1694,6093.475094
20.0,1707,6100.708079
21.0,1644,6107.634618
20.0,1669,6114.665797
20.0,1779,6122.182
21.0,1664,6129.157766
19.0,1775,6136.596457
21.0,1653,6143.533464
21.0,1625,6150.3829
20.0,1774,6158.394613
20.0,1712,6165.294551
20.0,1694,6172.110499
21.0,1815,6179.415131
21.0,1622,6185.931249
18.0,1916,6193.630386
19.0,1749,6200.63672
20.0,1698,6207.484483
21.0,1620,6213.999604
20.0,1690,6220.905482
21.0,1624,6227.400754
20.0,1667,6234.074427
21.0,1701,6240.893593
21.0,1648,6247.536717
20.0,1736,6254.510886
20.0,1729,6261.466533
18.0,1795,6268.673978
20.0,1744,6275.692903
20.0,1693,6282.531368
20.0,1929,6290.383948
21.0,1630,6296.941188
20.0,1683,6303.709326
21.0,1622,6310.211077
21.0,1632,6316.718843
13.0,2031,6324.948237
21.0,1667,6331.698133
21.0,1635,6338.267815
19.0,1779,6345.372081
19.0,1760,6352.41679
21.0,1646,6359.662524
21.0,1646,6366.619108
20.0,1747,6373.976194
18.0,1855,6381.846469
18.0,1940,6390.097069
20.0,1695,6397.263454
19.0,1773,6404.788779
20.0,1712,6412.030598
19.0,1854,6419.899008
21.0,1652,6426.910184
21.0,1624,6433.846151
20.0,1702,6441.100138
19.0,1839,6448.907694
20.0,1663,6455.979338
20.0,1762,6463.469892
19.0,1866,6471.40172
19.0,1837,6479.195716
21.0,1671,6486.292663
19.0,1757,6493.459172
21.0,1715,6500.455255
21.0,1648,6507.119576
19.0,1743,6514.169479
19.0,1743,6521.240628
19.0,1797,6528.499527
20.0,1770,6535.999549
19.0,1842,6543.843886
20.0,1711,6551.120067
20.0,1693,6558.307157
21.0,1691,6565.529582
20.0,1745,6572.904887
20.0,1695,6579.77448
20.0,1658,6586.456567
21.0,1650,6593.122869
21.0,1647,6599.787866
21.0,1647,6606.405249
19.0,1763,6613.572336
19.0,1874,6621.555624
18.0,1869,6629.487192
20.0,1682,6636.60755
20.0,1798,6644.23468
17.0,1841,6652.057316
20.0,1693,6659.049816
21.0,1647,6665.669078
20.0,1669,6672.42808
19.0,1811,6679.895839
19.0,1750,6686.951985
20.0,1696,6693.819634
18.0,1832,6701.545561
20.0,1711,6708.818054
19.0,1847,6716.665526
18.0,2055,6725.442878
11.0,2831,6737.487122
21.0,1643,6744.153687
20.0,1666,6750.914739
20.0,1805,6758.284265
21.0,1624,6764.858479
21.0,1623,6771.408513
18.0,1910,6779.352433
19.0,1927,6787.557977
19.0,1782,6795.186118
21.0,1695,6802.397044
21.0,1691,6809.591207
21.0,1642,6816.582255
21.0,1638,6823.434183
20.0,1684,6830.254346
20.0,1711,6837.165191
20.0,1784,6844.383617
21.0,1685,6851.201119
21.0,1715,6858.138012
21.0,1623,6864.956417
20.0,1695,6872.153857
21.0,1669,6879.275844
21.0,1652,6886.248509
21.0,1912,6894.297673
20.0,1692,6901.450424
21.0,1704,6908.467137
21.0,1660,6915.175969
