nupdates,value_loss,fps,policy_entropy,explained_variance,total_timesteps
326900,0.020528370514512062,708,2.87284517288208,0.9275919273495674,6538000
327000,0.03084072843194008,708,2.8677101135253906,0.8763222023844719,6540000
327100,0.022639788687229156,708,2.8593192100524902,0.9390882141888142,6542000
327200,0.023086749017238617,708,2.8707804679870605,0.9000507667660713,6544000
327300,0.00513664074242115,708,2.8840062618255615,0.8966620191931725,6546000
327400,0.006752480752766132,708,2.8711447715759277,0.9513155147433281,6548000
327500,0.0025719976983964443,708,2.8861804008483887,0.9539184160530567,6550000
327600,0.0038762378972023726,708,2.8868556022644043,0.7114773392677307,6552000
327700,0.00788270402699709,708,2.885343551635742,0.9587150849401951,6554000
327800,0.0008921463740989566,708,2.879875659942627,0.9881185395643115,6556000
327900,0.01148846186697483,708,2.6308999061584473,0.9440822377800941,6558000
328000,0.021109741181135178,708,2.878213405609131,0.9154919385910034,6560000
328100,0.0034039232414215803,708,2.8854544162750244,0.9456220790743828,6562000
328200,0.0033288360573351383,708,2.8669066429138184,0.9653287976980209,6564000
328300,0.0030037746764719486,708,2.884979248046875,0.9332984983921051,6566000
328400,0.007827185094356537,708,2.8780574798583984,0.8384282290935516,6568000
328500,0.007757381536066532,708,2.8827338218688965,0.9490969553589821,6570000
328600,0.019281504675745964,708,2.8788347244262695,0.6929666996002197,6572000
328700,0.010473531670868397,708,2.8454723358154297,0.874297171831131,6574000
328800,0.009335053153336048,708,2.7713940143585205,0.9429836198687553,6576000
328900,0.0006500149029307067,708,2.8819665908813477,0.9892658470198512,6578000
329000,0.0005593165988102555,708,2.8850274085998535,0.9927241383120418,6580000
329100,0.005077156238257885,708,2.875545024871826,0.9261758551001549,6582000
329200,0.043846018612384796,708,2.8723502159118652,0.5841713547706604,6584000
329300,0.005426720716059208,708,2.8842556476593018,0.9787918254733086,6586000
329400,0.02596481516957283,708,2.7447855472564697,0.9115069359540939,6588000
329500,0.0029956987127661705,708,2.8766956329345703,0.9829159006476402,6590000
329600,0.006443849764764309,708,2.8806817531585693,0.9469970688223839,6592000
329700,0.005632332060486078,708,2.8812289237976074,0.8905284628272057,6594000
329800,0.018288178369402885,708,2.6622672080993652,0.9469176083803177,6596000
329900,0.007005906198173761,708,2.8727011680603027,0.9652903564274311,6598000
330000,0.1350281685590744,708,2.8693618774414062,0.8579161465167999,6600000
330100,0.0182458758354187,708,2.8468189239501953,0.8788917064666748,6602000
330200,0.0020390620920807123,708,2.8534746170043945,0.9365272521972656,6604000
330300,0.006277462933212519,708,2.6594772338867188,0.6556864380836487,6606000
330400,0.0017938356613740325,708,2.8827359676361084,0.9081721976399422,6608000
330500,0.02933385968208313,708,2.8815548419952393,0.8208145350217819,6610000
330600,0.021442437544465065,708,2.863041639328003,0.9198695942759514,6612000
330700,0.008314352482557297,708,2.842766284942627,0.8135402947664261,6614000
330800,0.0008647399954497814,708,2.8865444660186768,0.9502178393304348,6616000
330900,0.001262072240933776,708,2.8841474056243896,0.8860339969396591,6618000
331000,0.01174306683242321,708,2.8578646183013916,0.9672907888889313,6620000
331100,0.0009201897191815078,708,2.886113405227661,0.8351735770702362,6622000
331200,0.002789671067148447,708,2.8838071823120117,0.9721284974366426,6624000
331300,0.03275603428483009,708,2.8706839084625244,0.495577335357666,6626000
331400,0.017352113500237465,708,2.8621814250946045,0.9118965938687325,6628000
331500,0.023060908541083336,708,2.8797435760498047,0.7896149605512619,6630000
331600,0.04441157728433609,708,2.8719584941864014,0.8140416443347931,6632000
331700,0.08123693615198135,708,2.8828084468841553,0.3220441937446594,6634000
331800,0.0028978644404560328,708,2.8800549507141113,0.4778115153312683,6636000
331900,0.002946933964267373,708,2.859712600708008,0.9567364826798439,6638000
332000,0.013681408949196339,708,2.8767216205596924,0.9270499721169472,6640000
332100,0.011802572757005692,708,2.8183634281158447,0.8729293197393417,6642000
332200,0.002252517966553569,708,2.692716598510742,0.9464615285396576,6644000
332300,0.0023942359257489443,708,2.883086681365967,0.9818850215524435,6646000
332400,0.01390897948294878,708,2.8776938915252686,0.9582517556846142,6648000
332500,0.023666147142648697,708,2.841696262359619,0.8855895325541496,6650000
332600,0.000743663520552218,708,2.884110689163208,0.9923013658262789,6652000
332700,0.0015776355285197496,708,2.7524971961975098,0.8949658796191216,6654000
332800,0.00856775138527155,708,2.872835159301758,0.9261825755238533,6656000
332900,0.010971581563353539,708,2.880830764770508,0.9221826121211052,6658000
333000,0.009359699673950672,708,2.8832836151123047,0.8672948628664017,6660000
333100,0.0025651277974247932,708,2.700857162475586,0.9572808258235455,6662000
333200,0.005009196233004332,708,2.826610565185547,0.9744957033544779,6664000
333300,0.0002923056890722364,708,2.887472629547119,0.9847164656966925,6666000
333400,0.014236283488571644,708,2.857534408569336,0.9441003873944283,6668000
333500,0.003856851253658533,708,2.876648426055908,0.9804080445319414,6670000
333600,0.007200015243142843,708,2.882835865020752,0.9607796370983124,6672000
333700,0.025052940472960472,708,2.883129835128784,0.8809678629040718,6674000
333800,0.004282166715711355,708,2.8838486671447754,0.8999416753649712,6676000
333900,0.001365114119835198,708,2.886373519897461,0.9687681365758181,6678000
334000,0.10002505779266357,708,2.745797634124756,0.8411081731319427,6680000
334100,0.02762763760983944,708,2.879312038421631,0.7221128940582275,6682000
334200,0.02828473411500454,708,2.8708009719848633,0.1275486946105957,6684000
334300,0.05923051759600639,708,2.8843719959259033,0.8237527161836624,6686000
334400,0.01213845331221819,708,2.8789069652557373,0.89836785197258,6688000
334500,0.007900801487267017,708,2.883974552154541,0.9514424093067646,6690000
334600,0.01722221076488495,708,2.8823659420013428,0.7278797328472137,6692000
334700,0.06862747669219971,708,2.88444185256958,0.7492600977420807,6694000
334800,0.00591316819190979,708,2.884833574295044,0.9224777370691299,6696000
334900,0.08349627256393433,708,2.8794925212860107,0.8045472055673599,6698000
335000,0.02223202772438526,708,2.848825693130493,0.7099132835865021,6700000
335100,0.047321490943431854,708,2.882309913635254,-0.4558013677597046,6702000
335200,0.003826672909781337,708,2.8743133544921875,0.8373214155435562,6704000
335300,0.022348565980792046,708,2.7624125480651855,0.8293786644935608,6706000
335400,0.007437863387167454,708,2.8830180168151855,0.9857242312282324,6708000
335500,0.034534454345703125,708,2.860157012939453,0.7232255637645721,6710000
335600,0.006470739841461182,708,2.8728926181793213,0.943792350590229,6712000
335700,0.002448058221489191,708,2.882826328277588,0.9816122278571129,6714000
335800,0.00034612431772984564,708,2.8445894718170166,0.9861602634191513,6716000
335900,0.03460969403386116,708,2.8821730613708496,0.9270900040864944,6718000
336000,0.009114119224250317,708,2.881157875061035,0.9330444633960724,6720000
336100,0.004181893076747656,708,2.886085033416748,0.9484383910894394,6722000
336200,0.001997200306504965,708,2.885514259338379,0.9783980306237936,6724000
336300,0.007184213493019342,708,2.8855175971984863,0.8500083088874817,6726000
336400,0.005507065448909998,708,2.8547756671905518,0.9493952617049217,6728000
336500,0.0008450936293229461,708,2.887392520904541,0.9793771598488092,6730000
336600,0.000600414932705462,708,2.7809548377990723,0.9905833033844829,6732000
336700,0.055148012936115265,708,2.879530429840088,0.824476808309555,6734000
336800,0.005525670014321804,708,2.8869433403015137,0.9301918894052505,6736000
336900,0.004788674879819155,708,2.885735034942627,0.9397314973175526,6738000
337000,0.02211100235581398,708,2.858725070953369,0.9280266910791397,6740000
337100,0.04206378012895584,708,2.8783583641052246,0.8579728007316589,6742000
