fps,nupdates,total_timesteps,value_loss,policy_entropy,explained_variance
773,25900,518000,0.057122569531202316,1.7636935710906982,0.9047076776623726
774,26000,520000,0.016904721036553383,1.773716926574707,0.9889983721077442
774,26100,522000,0.05089589208364487,1.619468331336975,0.971385907381773
774,26200,524000,0.03451574221253395,1.4479272365570068,0.998586445231922
774,26300,526000,0.23593583703041077,1.6833385229110718,0.9053441807627678
774,26400,528000,0.09956327080726624,2.030149459838867,0.737418532371521
774,26500,530000,0.02877938374876976,1.913008451461792,0.9726361986249685
774,26600,532000,0.0715731531381607,1.3141491413116455,0.9956567920744419
774,26700,534000,1.2436186075210571,1.7828054428100586,0.761393129825592
774,26800,536000,0.24257364869117737,2.132150411605835,-1.3566334247589111
774,26900,538000,0.08169487863779068,1.780170202255249,0.9032992273569107
774,27000,540000,0.6055654287338257,1.297255277633667,0.9686979129910469
774,27100,542000,0.16679587960243225,2.0602214336395264,0.8152292519807816
774,27200,544000,0.18588165938854218,2.0662875175476074,0.32772552967071533
774,27300,546000,0.06736280024051666,1.4554764032363892,0.97914775647223
774,27400,548000,0.014395780861377716,1.3944628238677979,0.9758233223110437
774,27500,550000,0.3024207651615143,1.7252342700958252,0.9677918627858162
774,27600,552000,0.4007234573364258,1.9754215478897095,0.36909377574920654
774,27700,554000,0.013656781986355782,2.0372750759124756,0.9544245079159737
774,27800,556000,5.1824822425842285,1.5394010543823242,0.12296169996261597
774,27900,558000,0.009618299081921577,2.173578977584839,0.9829917587339878
774,28000,560000,0.0875103622674942,2.1186938285827637,0.3659411668777466
774,28100,562000,0.02799050882458687,1.7676372528076172,0.9884235765784979
774,28200,564000,0.26419147849082947,1.5901501178741455,0.9576547257602215
774,28300,566000,0.032713647931814194,1.8849451541900635,0.988540904596448
774,28400,568000,0.11293552815914154,1.917222261428833,0.915940135717392
775,28500,570000,3.094463348388672,2.02752423286438,-1.395383358001709
775,28600,572000,0.09648528695106506,1.965441346168518,0.9805529303848743
775,28700,574000,0.10395757853984833,2.098851203918457,0.771097257733345
775,28800,576000,0.04671755060553551,1.7420084476470947,0.9943173457868397
775,28900,578000,0.04353881627321243,1.5767453908920288,0.9943166300654411
775,29000,580000,0.012698587961494923,2.1769015789031982,0.9772846084088087
775,29100,582000,0.11494897305965424,2.131718635559082,0.6854898631572723
775,29200,584000,0.1954801380634308,1.19328773021698,0.9944737241603434
775,29300,586000,0.009603776969015598,2.145531415939331,0.9784224554896355
775,29400,588000,0.0645541325211525,1.731499433517456,0.9469776563346386
775,29500,590000,0.17314277589321136,1.447118878364563,0.9520083852112293
775,29600,592000,0.1711319386959076,1.4108065366744995,0.9653652049601078
775,29700,594000,0.0015426676254719496,2.175668954849243,0.9954789709299803
775,29800,596000,0.00875004194676876,2.1236469745635986,0.9886155016720295
775,29900,598000,0.13162937760353088,1.0792644023895264,0.9930827748030424
775,30000,600000,0.14238198101520538,1.8099336624145508,-0.818871021270752
775,30100,602000,17.396636962890625,1.3796676397323608,0.018876850605010986
775,30200,604000,0.05307982116937637,1.7784888744354248,0.9948574919253588
775,30300,606000,0.317892462015152,1.3399442434310913,0.8709108680486679
775,30400,608000,0.04628901928663254,1.5371270179748535,0.9951078076846898
775,30500,610000,0.0713256299495697,2.187645673751831,0.5148942172527313
775,30600,612000,0.047008465975522995,1.8491322994232178,0.959782812744379
775,30700,614000,0.20344731211662292,1.0815935134887695,0.9814505390822887
775,30800,616000,0.02489035204052925,1.7911529541015625,0.9974032382015139
775,30900,618000,0.024844948202371597,1.7909040451049805,0.9988618608331308
775,31000,620000,0.06544271856546402,2.1024694442749023,0.8961070477962494
775,31100,622000,0.14503341913223267,1.6795012950897217,0.9962146889884025
775,31200,624000,0.0030475726816803217,2.1747660636901855,0.9884400181472301
775,31300,626000,0.29672935605049133,1.6313759088516235,0.8989276513457298
775,31400,628000,0.1425737887620926,1.6931813955307007,0.969100184738636
775,31500,630000,0.13215681910514832,1.2592357397079468,0.9938382576219738
